"palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"escuela",2.8,3,3,0.4472,0,0,"sustantivo"
"papel",2.4,2.4,2.8,0.5477,0.5477,0.4472,"sustantivo"
"línea",2.2,2,3,0.4472,0.7071,0,"sustantivo"
"destacar",2.6,2.8,2.2,0.5477,0.4472,0.8367,"verbo"
"ejemplo",2.2,2.6,2,0.4472,0.5477,0.7071,"sustantivo"
"descubrir",3,3,2.4,0,0,0.8944,"verbo"
"servir",2,2.8,2.4,0.7071,0.4472,0.8944,"verbo"
"arte",3,2.8,2.6,0,0.4472,0.8944,"sustantivo"
"sangre",2,2,3,0.7071,0.7071,0,"sustantivo"
"estrella",3,2.6,3,0,0.5477,0,"sustantivo"
"edad",2,2,2,0.7071,0.7071,0.7071,"sustantivo"
"derecho",2.2,2.6,2,0.4472,0.5477,0.7071,"sustantivo"
"labio",2.4,2.4,3,0.5477,0.5477,0,"sustantivo"
"dios",2,2,1.6,0.7071,0.7071,0.8944,"sustantivo"
"pertenecer",2.4,2.4,1.6,0.5477,0.8944,0.5477,"verbo"
"continuar",2.6,2.8,1.8,0.5477,0.4472,0.8367,"verbo"
"matar",1,2.4,2.6,0,0.8944,0.5477,"verbo"
"participar",2.8,3,2.4,0.4472,0,0.5477,"verbo"
"posible",2.8,2.2,2.4,0.4472,0.4472,0.8944,"adjetivo"
"pueblo",2.6,1.8,2.6,0.5477,0.8367,0.5477,"sustantivo"
"medio",2,2,2.6,0,0,0.8944,"sustantivo"
"despertar",2.8,2.8,3,0.4472,0.4472,0,"verbo"
"espacio",2.4,1.4,2,0.5477,0.5477,0.7071,"sustantivo"
"distrito",2,2,2,0,0,0.7071,"sustantivo"
"minuto",1.8,2.2,2,0.4472,0.4472,0,"sustantivo"
"cantar",2.8,3,2.8,0.4472,0,0.4472,"verbo"
"igual",2.2,2,2.6,0.4472,0,0.5477,"adjetivo"
"departamento",2.2,1.8,2.8,0.4472,0.4472,0.4472,"sustantivo"
"sacar",2.2,3,2.8,0.4472,0,0.4472,"verbo"
"nada",2,1.6,2,0,0.5477,1,"adverbio"
"cambio",2.6,2.8,2,0.5477,0.4472,0.7071,"sustantivo"
"gracia",2.8,2.2,2,0.4472,0.4472,1,"sustantivo"
"blanco",2.6,1.6,3,0.5477,0.8944,0,"adjetivo"
"personaje",2.8,2.6,2.4,0.4472,0.5477,0.5477,"sustantivo"
"semana",2,2.4,2.6,0.7071,0.5477,0.5477,"sustantivo"
"ocupar",1.8,2.8,2.2,0.4472,0.4472,0.8367,"verbo"
"bajo",2,1.8,3,0,0.4472,0,"adjetivo"
"antiguo",2.6,1.4,2.8,0.5477,0.5477,0.4472,"adjetivo"
"localidad",2,2,2,0,0,0.7071,"sustantivo"
"lleno",2.2,1.6,3,0.4472,0.5477,0,"adjetivo"
"ser",2.8,3,2.2,0.4472,0,1.0954,"sustantivo"
"ocurrir",2.4,2.8,1.4,0.5477,0.4472,0.5477,"verbo"
"principio",2.4,2.4,1.8,0.5477,0.5477,0.8367,"sustantivo"
"negro",2,1.6,2.8,0,0.5477,0.4472,"adjetivo"
"oscuro",2,1.6,2.8,0,0.5477,0.4472,"adjetivo"
"ejército",1.6,2.6,3,0.8944,0.5477,0,"sustantivo"
"densidad",2,1.8,1.8,0,0.4472,0.8367,"sustantivo"
"frente",2,1.8,2,0,0.4472,0.7071,"adverbio"
"hermoso",3,2.2,2.6,0,0.8367,0.8944,"adjetivo"
"feliz",3,2.8,2.4,0,0.4472,0.8944,"adjetivo"
"poblacional",2,1.8,1.6,0,0.4472,0.5477,"adjetivo"
"situación",2,2,1.6,0,0.7071,0.5477,"sustantivo"
"detener",2,3,2.4,0,0,0.8944,"verbo"
"ayudar",2.6,3,2.6,0.5477,0,0.8944,"verbo"
"leer",2.8,2.6,2.8,0.4472,0.8944,0.4472,"verbo"
"anterior",2.2,1.8,1.6,0.4472,0.4472,0.8944,"adjetivo"
"largo",1.8,2,2.4,0.4472,0.7071,0.8944,"adjetivo"
"acompañar",2.8,3,2.4,0.4472,0,0.8944,"verbo"
"abandonar",1.2,2.8,2,0.4472,0.4472,1,"verbo"
"distinto",2.2,2.2,2.2,0.4472,0.4472,1.0954,"adjetivo"
"social",2.4,2,2,0.5477,0.7071,1,"adjetivo"
"título",1.8,2,2.6,0.4472,0,0.8944,"sustantivo"
"origen",2.2,1.8,1.8,0.4472,0.4472,0.8367,"sustantivo"
"desarrollar",2.2,3,2.4,0.4472,0,0.8944,"verbo"
"actual",2,1.8,2.2,0,0.4472,0.8367,"adjetivo"
"bello",2.8,1.6,2.6,0.4472,0.8944,0.8944,"adjetivo"
"mayoría",1.8,2,2.4,0.4472,0.7071,0.8944,"sustantivo"
"dedicar",2.4,2.8,2.6,0.5477,0.4472,0.8944,"verbo"
"área",2.2,1.4,2.6,0.4472,0.5477,0.8944,"sustantivo"
"chico",1.8,1.6,3,0.4472,0.5477,0,"sustantivo"
"importar",2.4,2.4,2.6,0.5477,0.8944,0.8944,"verbo"
"clase",2.4,2.2,2.6,0.5477,0.4472,0.8944,"sustantivo"
"político",1.8,2.4,1.6,0.4472,0.5477,0.8944,"adjetivo"
"internacional",2.2,1.8,2,0.4472,0.4472,1,"adjetivo"
"especial",2.6,1.8,2.4,0.5477,0.8367,0.8944,"adjetivo"
"sentimiento",2.4,2,2.2,0.5477,1,0.8367,"sustantivo"
"alto",2.2,1.8,2.6,0.4472,0.8367,0.8944,"adjetivo"
"nivel",2.2,2.2,2.4,0.4472,0.4472,0.8944,"sustantivo"
