palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
destino,2.4,2,2.2,0.5477,1,0.8367,sustantivo
hoja,2.4,1.8,3,0.5477,0.4472,0,sustantivo
sombra,2.4,1.8,3,0.5477,0.4472,0,sustantivo
diverso,2.4,2.2,2.2,0.5477,0.8367,0.8367,adjetivo
base,2,2,2.2,0,0,0.8367,sustantivo
público,2.4,2.4,2.8,0.8944,0.5477,0.4472,adjetivo
libre,2.8,2.6,2.2,0.4472,0.5477,1.0954,adjetivo
batalla,1.4,2.8,2.8,0.5477,0.4472,0.4472,sustantivo
fondo,2,1.6,2.8,0.7071,0.5477,0.4472,sustantivo
millón,2,2,2.2,0,0,0.8367,sustantivo
fuego,2.8,3,3,0.4472,0,0,sustantivo
flor,3,2.2,3,0,0.4472,0,sustantivo
don,2.8,2.2,2.6,0.4472,0.8367,0.5477,sustantivo
planta,3,2.2,3,0,0.4472,0,sustantivo
acuerdo,2.4,3,2.6,0.5477,0,0.5477,sustantivo
joven,2.2,2.2,2.6,0.4472,0.4472,0.5477,sustantivo
premio,2.8,2.4,2.8,0.4472,0.8944,0.4472,sustantivo
viaje,2.6,2.8,2.8,0.5477,0.4472,0.4472,sustantivo
modo,2,1.8,1.6,0,0.4472,0.5477,sustantivo
sonido,2.6,2.4,3,0.5477,0.8944,0,sustantivo
compañero,2.6,2.2,2.8,0.5477,0.4472,0.4472,sustantivo
desarrollo,2.6,3,2.8,0.5477,0,0.4472,sustantivo
menor,2,2,2.6,0,0,0.5477,adjetivo
construcción,2.4,3,2.6,0.5477,0,0.5477,sustantivo
animal,2.8,2.6,2.8,0.4472,0.5477,0.4472,sustantivo
popular,2,2.2,2.8,0,0.4472,0.4472,adjetivo
rojo,2.6,2,2.8,0.5477,0.7071,0.4472,adjetivo
cargo,2.2,2.4,2.8,0.4472,0.5477,0.4472,sustantivo
fútbol,1.8,3,3,0.4472,0,0,sustantivo
joven,2.2,2.4,3,0.4472,0.5477,0,adjetivo
valor,2.4,2.2,2.6,0.5477,0.4472,0.5477,sustantivo
medio,2,2,2.2,0,0,1.0954,adjetivo
proceso,2,2.8,2.6,0,0.4472,0.5477,sustantivo
estilo,2.4,2.4,2.4,0.5477,0.5477,0.8944,sustantivo
presencia,2.2,2.6,2.4,0.4472,0.5477,0.8944,sustantivo
común,2,2,2,0,0,1,adjetivo
ocasión,2.4,2.2,2.4,0.5477,0.4472,0.8944,sustantivo
letra,2,1.8,2.8,0,0.4472,0.4472,sustantivo
lluvia,2.6,2.8,3,0.5477,0.4472,0,sustantivo
división,2,2.8,2.8,0,0.4472,0.4472,sustantivo
allá,2,2.2,2.6,0,0.8367,0.5477,adverbio
término,2,1.8,1.8,0,0.4472,0.8367,sustantivo
reino,2.4,2.2,2.6,0.5477,0.4472,0.5477,sustantivo
triste,1,1.8333,3,0,0.7528,0,adjetivo
lágrima,1.8333,2.5,3,0.4082,0.5477,0,sustantivo
producción,2.5,2.8333,2.5,0.5477,0.4082,0.5477,sustantivo
dirección,2.1667,2.8333,2.5,0.4082,0.4082,0.8367,sustantivo
república,2.3333,2.1667,2.1667,0.5164,0.4082,0.9832,sustantivo
